Mouse_ID,Transect,Sex,Latitude,Longitude,Year,HI,HI_NLoci,HI_Level,Code,UTM_X,UTM_Y,Dist0,Region,mtBamH,YNPAR,X332,X347,Date,Plate,Tested_by,Machine,Measurements,Ct_1_Ep,Ct_2_Ep,Ct_1_Ep_Real_Pred,Ct_2_Ep_Real_Pred,Ct_believable,Ct_Ep_Consistent,believable_Ct_value,Ct_mean,Ct_mean_Ep,Ct_mean_ABI,Ct_mean_1_ABI,Ct_mean_2_ABI,Ct_mean_3_ABI,Ct_1_ABI,Ct_2_ABI,Ct_3_ABI,Ct_4_ABI,Ct_5_ABI,Ct_6_ABI,Ct_mean_2_ABI.1,Ct_7_ABI,Ct_8_ABI,Ct_9_ABI,Ct_mean_3_ABI.1,StDev,Oocyst_Predict,Oocyst_Level,X65,Tsx,Btk,Syap1,CH4.141I14,ABP,CH17.106,Es1,Gpd1,Idh1,Mpi,Np,Sod1,Es1C,Gpd1C,Idh1C,MpiC,NpC,Sod1C,X.68083956,X.1100571637,X.160150056,CH1.3218496,CH1.88355483,CH1.174165495,CH2.78718859,CH2.178792933,CH3.93284352,CH4.26556226,CH4.111202181,CH5.51550602,CH5.139601762,CH6.78506201,CH7.28099419,CH7.119929024,CH8.65270824,CH9.19429660,CH9.116447684,CH10.80265834,CH11.33380600,CH11.114735409,CH12.92508752,CH13.85661595,CH14.68404286,CH15.24396901,CH16.6056050,CH17.10247113,CH18.14214601,CH19.16098801,BW,L,LCd,Spleen,Sperm,Dissociated,Defect
AA_0047,HZ_BR,M,52.4978,13.6761,2016,0.650,14,NA,HOPPE1,410.1271812,5817.231089,-13.78376337,DyM,d,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m,m,m,m,NA,,NA,94/100,100,100/125,100/120,90/100,80,dm,dd,dm,dm,dm,mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3,78,83,0.038,26.9,19.17,6.4
AA_0064,HZ_BR,F,52.4164,13.4642,2016,0.080,13,NA,LIEB39,395.5507364,5808.462513,-29.27968937,dom,d,,dd,dd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dd,dd,dd,dd,NA,,NA,94,95/100,100,100/120,100,100,dd,dm,dd,dm,dd,dd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2,73,88,0.048,NA,NA,NA
AA_0066,HZ_BR,F,52.4164,13.4642,2016,0.120,13,NA,LIEB39,395.5507364,5808.462513,-29.27968937,dom,d,,dd,dd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dd,dd,dd,dd,NA,,NA,100,100,100,100,90/100,100,mm,dd,dd,dd,dm,dd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.45,87,89,0.02,NA,NA,NA
AA_0068,HZ_BR,F,52.4164,13.4642,2016,0.040,13,NA,LIEB39,395.5507364,5808.462513,-29.27968937,dom,d,,dd,dd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dd,dd,dd,dd,NA,,NA,94,100,100,100/120,100,100,dd,dd,dd,dm,dd,dd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,83,89,0.034,NA,NA,NA
AA_0069,HZ_BR,M,52.4164,13.4642,2016,0.000,14,NA,LIEB39,395.5507364,5808.462513,-29.27968937,dom,d,d,d,d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,d,d,d,NA,,NA,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.25,78,87,0.029,0,NA,NA
AA_0070,HZ_BR,F,52.4164,13.4642,2016,0.000,13,NA,LIEB39,395.5507364,5808.462513,-29.27968937,dom,d,,dd,dd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dd,dd,dd,dd,NA,,NA,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.96,72,85,0.021,NA,NA,NA
AA_0080,HZ_BR,F,52.2678,13.84,2016,0.000,13,NA,WOLZ24,420.8428,5791.458,-6.252268,DyM,d,,dd,dd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dd,dd,dd,dd,NA,,NA,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.51,72,80,0.042,NA,NA,NA
AA_0088,HZ_BR,M,52.2678,13.84,2016,0.200,14,HI < 0.25,WOLZ24,420.8428,5791.458,-6.252268,DyM,d,m,d,d,2016,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,d,d,d,NA,,NA,100,100,100,100,90/100,100,mm,dd,dd,dd,dm,dd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.44,73,81,0.019,31.9,20.53,9.6
AA_0100,HZ_BR,F,51.8625,13.4639,2016,0.000,12,NA,ROSENT,394.2261089,5746.86059,-23.61220055,dom,d,,dd,dd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,dd,dd,dd,NA,,NA,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.82,59,66,0.008,NA,NA,NA
AA_0116,HZ_BR,M,52.9783,13.7336,2016,0.882,12,NA,JOACHS8,414.970718,5870.606898,9.165301188,mus,d,m,m,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,d,m,m,NA,,NA,100,95,125,120,90,,mm,mm,mm,mm,mm,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.56,79,70,0.036,21.5,18.48,11.1
